2017-01-14 17:09:00,516-ERROR-run:123
2017-01-14 17:09:00,953-ERROR-run:123
2017-01-14 17:09:01,342-ERROR-run:123
2017-01-14 17:09:01,780-ERROR-run:123
2017-01-14 17:09:02,173-ERROR-run:123
2017-01-14 17:09:02,558-ERROR-run:123
2017-01-14 17:12:00,427-ERROR-run:123
2017-01-14 17:12:00,913-ERROR-run:123
2017-01-14 17:12:01,295-ERROR-run:123
2017-01-14 17:12:01,690-ERROR-run:123
2017-01-14 17:12:02,072-ERROR-run:123
2017-01-14 17:12:02,441-ERROR-run:123
2017-01-14 17:12:02,822-ERROR-run:123
2017-01-14 17:12:03,211-ERROR-run:123
2017-01-14 17:12:03,743-ERROR-run:123
2017-01-14 17:12:04,209-ERROR-run:123
2017-01-14 17:12:04,670-ERROR-run:123
2017-01-14 17:12:05,082-ERROR-run:123
2017-01-14 17:12:05,486-ERROR-run:123
2017-01-14 17:12:05,903-ERROR-run:123
2017-01-14 17:12:06,301-ERROR-run:123
2017-01-14 17:12:06,707-ERROR-run:123
2017-01-14 17:12:07,105-ERROR-run:123
2017-01-14 17:12:07,500-ERROR-run:123
2017-01-14 17:12:07,907-ERROR-run:123
2017-01-14 17:12:08,309-ERROR-run:123
2017-01-14 17:12:08,706-ERROR-run:123
2017-01-14 17:12:09,108-ERROR-run:123
2017-01-14 17:12:09,510-ERROR-run:123
2017-01-14 17:12:09,994-ERROR-run:123
2017-01-14 17:12:10,582-ERROR-run:123
2017-01-14 17:12:11,078-ERROR-run:123
2017-01-14 17:12:24,180-ERROR-run:123
2017-01-14 17:12:24,627-ERROR-run:123
2017-01-14 17:12:25,003-ERROR-run:123
2017-01-14 17:12:25,394-ERROR-run:123
2017-01-14 17:12:25,845-ERROR-run:123
2017-01-14 17:12:26,269-ERROR-run:123
2017-01-14 17:12:26,664-ERROR-run:123
2017-01-14 17:12:27,151-ERROR-run:123
2017-01-14 17:12:27,630-ERROR-run:123
2017-01-14 17:12:28,125-ERROR-run:123
2017-01-14 17:12:28,805-ERROR-run:123
